			Shelter	Food	Clothing and Footware	Mobility	Manufactured products 	Services
Other non-ferrous metal products	p27.45	p27.45	0	0	0	0	1	0
Recycled other non-ferrous metals waste	p27.45.w	p27.45.w	0	0	0	0	1	0
Foundry work services	p27.5	p27.5	0	0	0	0	1	0
Fabricated metal products, except machinery and equipment (28)	p28	p28	0	0	0	0	1	0
Machinery and equipment n.e.c. (29)	p29	p29	0	0	0	0	1	0
Office machinery and computers (30)	p30	p30	0	0	0	0	1	0
Electrical machinery and apparatus n.e.c. (31)	p31	p31	0	0	0	0	1	0
Radio, television and communication equipment and apparatus (32)	p32	p32	0	0	0	0	1	0
Medical, precision and optical instruments, watches and clocks (33)	p33	p33	0	0	0	0	1	0
Motor vehicles, trailers and semi-trailers (34)	p34	p34	0	0	0	0	1	0
Other transport equipment (35)	p35	p35	0	0	0	0	1	0
"Furniture; other manufactured goods n.e.c. (36)"	p36	p36	0	0	0	0	1	0
Secondary raw materials	p37	p37	0	0	0	0	1	0
Glass bottles directly reused	p37.w.1	p37.w.1	0	0	0	0	1	0
Electricity by coal	p40.11.a	p40.11.a	1	0	0	0	0	0
Electricity by gas	p40.11.b	p40.11.b	1	0	0	0	0	0
Electricity by nuclear	p40.11.c	p40.11.c	1	0	0	0	0	0
Electricity by hydro	p40.11.d	p40.11.d	1	0	0	0	0	0
Electricity by wind	p40.11.e	p40.11.e	1	0	0	0	0	0
Electricity by petroleum and other oil derivatives	p40.11.f	p40.11.f	1	0	0	0	0	0
Electricity by biomass and waste	p40.11.g	p40.11.g	1	0	0	0	0	0
Electricity by solar photovoltaic	p40.11.h	p40.11.h	1	0	0	0	0	0
Electricity by solar thermal	p40.11.i	p40.11.i	1	0	0	0	0	0
Electricity by tide, wave, ocean	p40.11.j	p40.11.j	1	0	0	0	0	0
Electricity by Geothermal	p40.11.k	p40.11.k	1	0	0	0	0	0
Electricity nec	p40.11.l	p40.11.l	1	0	0	0	0	0
Transmission services of electricity	p40.12	p40.12	1	0	0	0	0	0
Distribution and trade services of electricity	p40.13	p40.13	1	0	0	0	0	0
Coke oven gas	p40.2.a	p40.2.a	1	0	0	0	0	0
Blast Furnace Gas	p40.2.b	p40.2.b	1	0	0	0	0	0
Oxygen Steel Furnace Gas	p40.2.c	p40.2.c	1	0	0	0	0	0
Gas Works Gas	p40.2.d	p40.2.d	1	0	0	0	0	0
Biogas	p40.2.e	p40.2.e	1	0	0	0	0	0
Distribution services of gaseous fuels through mains	p40.2.1	p40.2.1	1	0	0	0	0	0
Steam and hot water supply services	p40.3	p40.3	1	0	0	0	0	0
Collected and purified water, distribution services of water (41)	p41	p41	1	0	0	0	0	0
Construction work (45)	p45	p45	1	0	0	0	0	0
Construction waste to recycling	p45.w	p45.w	1	0	0	0	0	0
Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	p50.a	p50.a	0	0	0	1	0	0
Retail trade services of motor fuel	p50.b	p50.b	0	0	0	1	0	0
Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	p51	p51	0	0	0	0	1	0
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"	p52	p52	0	0	0	0	1	0
Hotel and restaurant services (55)	p55	p55	0.5	0.5	0	0	0	0
Railway transportation services	p60.1	p60.1	0	0	0	1	0	0
Other land transportation services	p60.2	p60.2	0	0	0	1	0	0
Transportation services via pipelines	p60.3	p60.3	0	0	0	1	0	0
Sea and coastal water transportation services	p61.1	p61.1	0	0	0	1	0	0
Inland water transportation services	p61.2	p61.2	0	0	0	1	0	0
Air transport services (62)	p62	p62	0	0	0	1	0	0
"Supporting and auxiliary transport services; travel agency services (63)"	p63	p63	0	0	0	0	0	1
Post and telecommunication services (64)	p64	p64	0	0	0	0	0	1
Financial intermediation services, except insurance and pension funding services (65)	p65	p65	0	0	0	0	0	1
Insurance and pension funding services, except compulsory social security services (66)	p66	p66	0	0	0	0	0	1
Services auxiliary to financial intermediation (67)	p67	p67	0	0	0	0	0	1
Real estate services (70)	p70	p70	1	0	0	0	0	0
Renting services of machinery and equipment without operator and of personal and household goods (71)	p71	p71	0	0	0	0	0	1
Computer and related services (72)	p72	p72	0	0	0	0	0	1
Research and development services (73)	p73	p73	0	0	0	0	0	1
Other business services (74)	p74	p74	0	0	0	0	0	1
"Public administration and defence services; compulsory social security services (75)"	p75	p75	0	0	0	0	0	1
Education services (80)	p80	p80	0	0	0	0	0	1
Health and social work services (85)	p85	p85	0	0	0	0	0	1
Food waste to incineration	p90.1.a	p90.1.a	1	0	0	0	0	0
Paper waste to incineration	p90.1.b	p90.1.b	1	0	0	0	0	0
Plastic waste to incineration	p90.1.c	p90.1.c	1	0	0	0	0	0
Inert/metal waste to incineration	p90.1.d	p90.1.d	1	0	0	0	0	0
Textiles waste to incineration	p90.1.e	p90.1.e	1	0	0	0	0	0
Wood waste to incineration	p90.1.f	p90.1.f	1	0	0	0	0	0
Oil/hazardous waste to incineration	p90.1.g	p90.1.g	1	0	0	0	0	0
Food  waste to biogas treatment	p90.2.a	p90.2.a	1	0	0	0	0	0
Paper waste to biogas treatment	p90.2.b	p90.2.b	1	0	0	0	0	0
Sewage sludge to biogas treatment	p90.2.c	p90.2.c	1	0	0	0	0	0
Food waste to composting	p90.3.a	p90.3.a	1	0	0	0	0	0
Paper and wood to composting	p90.3.b	p90.3.b	1	0	0	0	0	0
Food waste to waste water treatment	p90.4.a	p90.4.a	1	0	0	0	0	0
Other waste to waste water treatment	p90.4.b	p90.4.b	1	0	0	0	0	0
Food waste to Landfill	p90.5.a	p90.5.a	1	0	0	0	0	0
Paper waste to Landfill	p90.5.b	p90.5.b	1	0	0	0	0	0
Plastic waste to Landfill	p90.5.c	p90.5.c	1	0	0	0	0	0
Inert/metal/hazardous waste to Landfill	p90.5.d	p90.5.d	1	0	0	0	0	0
Textiles waste to Landfill	p90.5.e	p90.5.e	1	0	0	0	0	0
Wood waste to Landfill	p90.5.f	p90.5.f	1	0	0	0	0	0
Membership organisation services n.e.c. (91)	p91	p91	0	0	0	0	0	1
Recreational, cultural and sporting services (92)	p92	p92	0	0	0	0	0	1
Other services (93)	p93	p93	0	0	0	0	0	1
Private households with employed persons (95)	p95	p95	0	0	0	0	0	1
Extra-territorial organizations and bodies	p99	p99	0	0	0	0	0	1
